sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790001308.437955,372,0.137,-1.070,-67.822
XDA.XsDeviceId,1790001308.454023,373,0.138,-1.070,-67.816
XDA.XsDeviceId,1790001308.469953,374,0.136,-1.072,-67.817
XDA.XsDeviceId,1790001308.485589,375,0.139,-1.071,-67.817
XDA.XsDeviceId,1790001308.501375,376,0.138,-1.071,-67.824
XDA.XsDeviceId,1790001308.517412,377,0.140,-1.073,-67.827
XDA.XsDeviceId,1790001308.533374,378,0.139,-1.071,-67.822
XDA.XsDeviceId,1790001308.549373,379,0.139,-1.070,-67.824
XDA.XsDeviceId,1790001308.565298,380,0.140,-1.071,-67.826
XDA.XsDeviceId,1790001308.581285,381,0.140,-1.072,-67.829
XDA.XsDeviceId,1790001308.597278,382,0.140,-1.072,-67.829
XDA.XsDeviceId,1790001308.629229,383,0.140,-1.070,-67.825
XDA.XsDeviceId,1790001308.645221,384,0.142,-1.072,-67.827
XDA.XsDeviceId,1790001308.661211,385,0.141,-1.070,-67.828
XDA.XsDeviceId,1790001308.677248,386,0.143,-1.070,-67.829
XDA.XsDeviceId,1790001308.693273,387,0.143,-1.070,-67.828
XDA.XsDeviceId,1790001308.709125,388,0.143,-1.070,-67.826
XDA.XsDeviceId,1790001308.724915,389,0.144,-1.071,-67.830
XDA.XsDeviceId,1790001308.740576,390,0.143,-1.072,-67.833
XDA.XsDeviceId,1790001308.756658,391,0.144,-1.071,-67.835
XDA.XsDeviceId,1790001308.772702,392,0.145,-1.071,-67.830
XDA.XsDeviceId,1790001308.788515,393,0.143,-1.069,-67.827
XDA.XsDeviceId,1790001308.804439,394,0.146,-1.070,-67.828
XDA.XsDeviceId,1790001308.820336,395,0.146,-1.070,-67.829
XDA.XsDeviceId,1790001308.836198,396,0.147,-1.069,-67.830
XDA.XsDeviceId,1790001308.852115,397,0.149,-1.069,-67.833
XDA.XsDeviceId,1790001308.874295,398,0.149,-1.068,-67.833
XDA.XsDeviceId,1790001308.882260,399,0.149,-1.068,-67.833
XDA.XsDeviceId,1790001308.898257,400,0.149,-1.069,-67.836
XDA.XsDeviceId,1790001308.914183,401,0.150,-1.070,-67.837
XDA.XsDeviceId,1790001308.930147,402,0.150,-1.070,-67.837
XDA.XsDeviceId,1790001308.962150,403,0.149,-1.070,-67.844
XDA.XsDeviceId,1790001308.978181,404,0.148,-1.069,-67.843
XDA.XsDeviceId,1790001308.994156,405,0.150,-1.069,-67.845
XDA.XsDeviceId,1790001309.010061,406,0.150,-1.070,-67.845
XDA.XsDeviceId,1790001309.026122,407,0.150,-1.068,-67.846
XDA.XsDeviceId,1790001309.042041,408,0.150,-1.069,-67.844
XDA.XsDeviceId,1790001309.058028,409,0.150,-1.069,-67.845
XDA.XsDeviceId,1790001309.074123,410,0.150,-1.068,-67.847
XDA.XsDeviceId,1790001309.090008,411,0.152,-1.067,-67.852
XDA.XsDeviceId,1790001309.106045,412,0.151,-1.067,-67.851
XDA.XsDeviceId,1790001309.121933,413,0.152,-1.066,-67.852
XDA.XsDeviceId,1790001309.137924,414,0.151,-1.067,-67.852
XDA.XsDeviceId,1790001309.153872,415,0.151,-1.068,-67.853
XDA.XsDeviceId,1790001309.169854,416,0.152,-1.067,-67.852
XDA.XsDeviceId,1790001309.185824,417,0.152,-1.068,-67.854
XDA.XsDeviceId,1790001309.201803,418,0.153,-1.069,-67.853
XDA.XsDeviceId,1790001309.217546,419,0.153,-1.069,-67.852
XDA.XsDeviceId,1790001309.233348,420,0.154,-1.070,-67.851
XDA.XsDeviceId,1790001309.249365,421,0.154,-1.070,-67.851
XDA.XsDeviceId,1790001309.265354,422,0.154,-1.070,-67.853
XDA.XsDeviceId,1790001309.281325,423,0.154,-1.070,-67.856
XDA.XsDeviceId,1790001309.297169,424,0.155,-1.069,-67.857
XDA.XsDeviceId,1790001309.329129,425,0.153,-1.070,-67.862
XDA.XsDeviceId,1790001309.345128,426,0.154,-1.070,-67.860
XDA.XsDeviceId,1790001309.361099,427,0.154,-1.070,-67.860
XDA.XsDeviceId,1790001309.377205,428,0.155,-1.068,-67.857
XDA.XsDeviceId,1790001309.392951,429,0.154,-1.069,-67.858
XDA.XsDeviceId,1790001309.409026,430,0.155,-1.069,-67.858
XDA.XsDeviceId,1790001309.425023,431,0.157,-1.069,-67.857
XDA.XsDeviceId,1790001309.441030,432,0.158,-1.068,-67.857
XDA.XsDeviceId,1790001309.457014,433,0.160,-1.070,-67.860
XDA.XsDeviceId,1790001309.473038,434,0.159,-1.070,-67.861
XDA.XsDeviceId,1790001309.488496,435,0.157,-1.071,-67.861
XDA.XsDeviceId,1790001309.504468,436,0.158,-1.070,-67.862
